
Nifty_1Hr_OBV_DIV								 
================= 
nsecode		close		per_chg		volume
AUBANK		1051.2		-0.74		956373
ADANIENSOL		1632.4		-0.83		883216
HEROMOTOCO		5680.0		2.38		881414
ADANIENT		3045.0		-0.16		869116
CHOLAFIN		1880.0		0.27		865504
MPHASIS		2430.1		2.11		844921
BHARATFORG		2200.0		0.23		740877
POLICYBZR		1627.7		1.92		691308
ASIANPAINT		2758.0		-0.61		670846
HAL		4635.4		0.01		661552
RADICO		4538.8		2.0		641751
GVT&D		4379.0		1.06		627096
JINDALSTEL		1114.4		-0.85		618045
SBILIFE		1876.8		-1.17		614768
HDFCAMC		2555.2		-0.03		574384
GODFRYPHLP		2327.0		-0.42		558442
TITAN		4906.0		-0.59		538149
APLAPOLLO		1960.0		2.08		530843
TORNTPHARM		4990.0		-0.8		502154
DIXON		14360.0		2.66		442461
UNITDSPR		1524.4		-0.04		439243
WAAREEENER		2680.0		0.37		438369
KFINTECH		948.75		-0.02		432305
PREMIERENE		1035.0		-0.13		430387
EICHERMOT		7995.0		0.76		419045
BRITANNIA		5440.0		-0.69		396363
GLENMARK		2259.9		1.57		387648
HYUNDAI		2204.6		-0.69		383197
PRESTIGE		1594.4		-0.04		367730
SIEMENS		3969.0		-0.79		355343
TIINDIA		2772.0		1.01		340597
MARUTI		14165.0		-0.02		313475
DIVISLAB		8388.0		0.12		312019
PHOENIXLTD		1929.0		-0.17		298234
SRF		2642.4		0.0		237200
COLPAL		2032.0		1.09		230967
ULTRACEMCO		12190.0		1.16		210499
POLYCAB		9196.0		0.22		207752
TATAELXSI		3749.8		0.34		156880
SUPREMEIND		3467.0		-0.97		134132
BOSCHLTD		42800.0		3.88		116138
DALBHARAT		1825.0		-0.11		92929
FORCEMOT		18540.0		0.88		87035
POWERINDIA		32350.0		1.08		56286
BAJAJHLDNG		11496.0		0.18		35956
PAGEIND		39940.0		0.48		7696
NIFTY		24570.2		-0.18		0
CNXMIDCAP		63508.1		0.03		0

High_Relative_Volume_Spurt_5m								 
============================= 
nsecode		close		per_chg		volume
NTPC		348.2		1.32		16740500
MANAPPURAM		363.55		1.95		11430193
FEDERALBNK		356.0		-1.78		4973457

Open_High								 
========= 
nsecode		close		per_chg		volume
PAGEIND		39940.0		0.48		7696
IREDA		120.8		0.37		8934006
CNXMIDCAP		63508.1		0.03		0
ASIANPAINT		2758.0		-0.61		670846
AUBANK		1051.2		-0.74		956373
ICICIBANK		1443.6		-0.76		11506627
TORNTPHARM		4990.0		-0.8		502154
ADANIENSOL		1632.4		-0.83		883216
FORTIS		924.7		-0.87		1882952
COALINDIA		413.8		-0.91		5298043
ONGC		239.4		-1.07		18868170
LUPIN		2383.0		-1.12		1481862
SBILIFE		1876.8		-1.17		614768
PETRONET		281.65		-1.18		707549
PATANJALI		355.1		-1.33		2193024
APOLLOHOSP		8900.5		-1.65		283504
ZYDUSLIFE		1111.1		-1.67		1026647
FEDERALBNK		356.0		-1.78		4973457
NYKAA		333.25		-2.7		33868016
BSE		3511.0		-2.96		6859995
MCX		2598.5		-3.04		5534421

Open_Low								 
======== 
nsecode		close		per_chg		volume
PNBHOUSING		1121.6		3.85		5095617
GODREJPROP		2108.8		3.7		1893645
UNOMINDA		1253.6		2.17		2040999
OBEROIRLTY		1813.5		1.95		383686
CROMPTON		265.1		0.76		1520468
COFORGE		1763.1		0.75		2284868
